GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.event.carrier,EventMessage,29,0,0,0,13,0,6,0,6,0
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.event.carrier,PollTimerMessage,16,0,0,0,8,0,4,0,4,0
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.exception,MobileTerminalMessageException,4,0,0,0,2,0,1,0,1,0
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.constants,DataSourceQueue,38,0,0,0,2,0,4,0,4,0
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.constants,MessageConstants,3,0,0,0,1,0,1,0,1,0
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.constants,ModuleQueue,48,0,0,0,2,0,4,0,4,0
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.consumer.bean,MessageConsumerBean,73,4,4,0,18,1,5,1,2,1
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.consumer.bean,MobileTerminalMessageConsumer,197,0,8,0,48,0,11,0,7,0
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.consumer.bean,MessageConsumerBean.new Object() {...},26,0,0,0,1,0,1,0,1,0
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.producer.bean,MessageProducerBean,164,0,4,0,45,0,10,0,7,0
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.producer.bean,MessageProducerBean.new Object() {...},37,0,0,0,2,0,1,0,1,0
mobileterminal-service/mobileterminal-message,eu.europa.ec.fisheries.uvms.mobileterminal.message.producer.bean,JMSConnectorBean,98,4,2,0,29,1,5,1,4,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.bean,PollDaoBean,311,0,20,0,65,0,18,0,8,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.bean,ChannelDaoBean,27,95,6,4,5,21,4,5,0,4
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.bean,OceanRegionDaoBean,11,16,0,0,3,4,0,3,0,3
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.bean,PollProgramDaoBean,216,0,8,0,44,0,11,0,7,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.bean,TerminalDaoBean,149,0,0,0,37,0,7,0,7,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.bean,DNIDListDaoBean,41,56,0,2,9,14,0,7,0,6
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.bean,MobileTerminalPluginDaoBean,0,87,0,0,0,22,0,6,0,6
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.bean,MobileTerminalBaseDao,3,0,0,0,1,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.entity,OceanRegion,42,3,0,0,18,2,12,1,12,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.entity,MobileTerminalPluginCapability,42,3,0,0,18,2,12,1,12,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.entity,Channel,103,3,10,0,36,2,23,1,18,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.entity,MobileTerminalPlugin,39,34,0,0,15,17,12,9,12,9
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.entity,DNIDList,19,19,0,0,7,10,6,5,6,5
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.entity,MobileTerminal,146,11,12,0,53,4,34,1,28,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.entity,ChannelHistory,191,3,32,0,60,1,42,1,26,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.entity,MobileTerminalEvent,132,3,8,0,44,2,30,1,26,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao,Dao,0,3,0,0,0,1,0,1,0,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.exception,NoEntityFoundException,0,4,0,0,0,2,0,1,0,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.exception,ConfigDaoException,0,4,0,0,0,2,0,1,0,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.exception,PollDaoException,4,0,0,0,2,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.exception,PollDaoMappingException,4,0,0,0,2,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.exception,MobileTerminalDaoMappingException,4,0,0,0,2,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.exception,EnumException,4,0,0,0,2,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.exception,InputArgumentException,4,0,0,0,2,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.dao.exception,TerminalDaoException,0,4,0,0,0,2,0,1,0,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.search.poll,PollSearchMapper,212,68,25,3,49,17,23,2,8,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.search.poll,PollSearchMapper.new Object() {...},40,0,0,0,1,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,MobileTerminalEntityToModelMapper.new Object() {...},19,0,0,0,1,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,PollEntityToModelMapper,141,0,3,0,35,0,9,0,7,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,PollEntityToModelMapper.new Object() {...},26,0,0,0,1,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,EnumMapper.new Object() {...},257,0,0,0,8,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,PluginMapper,503,0,64,0,112,0,47,0,14,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,PollModelToEntityMapper,406,0,35,0,94,0,30,0,8,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,ChannelCapability,83,0,4,0,8,0,7,0,5,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,MobileTerminalModelToEntityMapper.new Object() {...},19,0,0,0,1,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,MobileTerminalModelToEntityMapper,588,0,67,0,143,0,43,0,9,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,PollModelToEntityMapper.new Object() {...},86,0,0,0,2,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,AttributeMapper,128,12,7,1,27,3,8,1,4,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,PluginMapper.new Object() {...},44,0,0,0,2,0,1,0,1,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,HistoryMapper,192,0,14,0,43,0,11,0,4,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,EnumMapper,354,25,76,4,73,4,63,2,12,1
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.mapper,MobileTerminalEntityToModelMapper,300,0,31,0,76,0,24,0,8,0
mobileterminal-service/mobileterminal-dbaccess-domain,eu.europa.ec.fisheries.uvms.mobileterminal.bean,ConfigModelBean,462,133,55,9,112,27,36,11,8,6
